CSN U12 Masculin;2025-2026;;;;;;;
id;weekday;date;time;home team;away team;arena;score;attendance
2;Sunday;2026-06-28;11:45:00;ABC Slam Bucuresti Alb;CS Sport Star Timisoara;Terenul Mastercard;30-44;
2;Sunday;2026-06-28;11:45:00;ACS Academia de Baschet Phoenix Galati;CSS Nr 6 Bucuresti 1;Terenul Linksoft;57-8;
6;Sunday;2026-06-28;11:45:00;CS Muresul Targu Mures;ACS U-BT Cluj-Napoca Argintiu;Terenul 1 Schitu;44-16;
1;Sunday;2026-06-28;11:45:00;ABC Hoops Brasov Rosu;ACS Academia de Baschet Ursii Borsec;Terenul Lino;26-35;
4;Sunday;2026-06-28;11:45:00;ACS Dan Dacian Bucuresti Negru;ACS U-BT Cluj-Napoca Alb;Terenul H2On;23-60;
5;Sunday;2026-06-28;11:45:00;ACS Mambra Sport Timisoara;ACS Templiers Academy Galati 2;Terenul Mera Resort;11-67;
4;Sunday;2026-06-28;11:45:00;CSS Sfantu Gheorghe;ACS CS Heart Drobeta Turneu Severin 2;Terenul 1;15-35;
2;Sunday;2026-06-28;11:45:00;ABC Play Bucuresti 2;CSM Alexandria;Terenul FRB;33-35;
1;Sunday;2026-06-28;11:45:00;ABC Rising Stars Popesti Leordeni Negru;ACS Baschet Team Giurgiu;Terenul BCR;33-27;
5;Sunday;2026-06-28;11:45:00;CSS Gheorgheni;ACS Star 2010 Tragu Jiu;Terenul Paula;60-21;
3;Sunday;2026-06-28;11:45:00;ACS BC Lions Craiova;CS Campina;Terenul CloudPerform;37-23;
3;Sunday;2026-06-28;12:45:00;ACS Champions Bucuresti;ASBC Alpha Bucuresti Alb;Terenul Mastercard;51-43;
3;Sunday;2026-06-28;12:45:00;CSS Viitorul Cluj-Napoca;ACS Dan Dacian Bucuresti Mov;Terenul Lino;36-30;
3;Sunday;2026-06-28;12:45:00;ACS Dan Dacian Bucuresti Galben;CSM Ramnicu Sarat;Terenul Linksoft;20-57;
5;Sunday;2026-06-28;12:45:00;ACS Energy Basketball Academy Targu Jiu Alb;ACS Primo Mega Ball Pitesti 1;Terenul H2On;26-42;
3;Sunday;2026-06-28;12:45:00;CSU Andu Sibiu Galben;ACS Cormoran Constanta Smarald;Terenul BCR;32-51;
4;Sunday;2026-06-28;12:45:00;ACS Deceneu Tulcea 2;ACS Vilis Bucuresti;Terenul CloudPerform;2-0;
6;Sunday;2026-06-28;12:45:00;CS Tonika Pucioasa;ACS Victoria Arad;Terenul Paula;2-0;
3;Sunday;2026-06-28;12:45:00;ACS Champions Bucuresti;CS Magic Champions Bucuresti Alb;Terenul FRB;18-13;
5;Sunday;2026-06-28;12:45:00;CSS Focsani;ACS Sedu Corunca;Terenul 1;21-38;
5;Sunday;2026-06-28;12:45:00;ACS MC Ball Mangalia;ACS Templiers Academy Galati 3;Terenul Eugenia;32-21;
1;Sunday;2026-06-28;12:45:00;ABC Laguna Bucuresti Albastru;ACS AS 30 Bucuresti;Terenul Mera Resort;26-15;
